seed,n_test_calls,f1_percontext,f1_global_v30,f1_global_v150
0,2969,0.546066712467463,0.5092695821005376,0.5362292274841174
1,1715,0.539010225209545,0.5141671796534,0.580450588611743
2,3756,0.5202180917897706,0.492546568544731,0.4517152026467671
3,2939,0.5536942839803519,0.5412458836829351,0.5631817767210827
4,3306,0.5145195080910412,0.4982874617300046,0.5134767577577048
