seed,continuous_macro,discrete_macro
0,0.3933842959602939,0.3805257980994745
1,0.35300118828626426,0.32850110804909377
2,0.35616215007200325,0.3062628922378887
3,0.3554408494527993,0.34579705723929344
4,0.3498455110231785,0.31937734119869887
