tokenizer,seed,knn_real_macro,knn_real_uar,knn_shuf_macro,knn_shuf_uar
kmeans30,0,0.2630142833376472,0.2842941322747775,0.2565716442971412,0.28304894811843856
kmeans30,1,0.28392997937898323,0.3072624105041586,0.26215677341077315,0.293449768259628
kmeans30,2,0.2783834508374408,0.2814811924862946,0.26609891851331235,0.27023629644059055
kmeans30,3,0.2743914751904728,0.2775152845309935,0.29015414174604826,0.28893844989297574
kmeans30,4,0.2527807717432037,0.26461378594246027,0.25005222941214333,0.26011165907105693
agglo30,0,0.2473390565352688,0.27186386104438987,0.25309602319310676,0.28172617878381323
agglo30,1,0.2545021331580629,0.2889877595254691,0.26214784751576614,0.29710043970174227
agglo30,2,0.26267895676782893,0.2735725322607161,0.26256535696692557,0.2724506412470484
agglo30,3,0.26652182168501665,0.2727097395983581,0.2673520659210473,0.2715086667110025
agglo30,4,0.26699970649422633,0.2758451152658377,0.2547189154636152,0.2656276739223324
